Oferta,Conceito,N NT_GER,Média NT_GER,Mediana NT_GER,DP NT_GER,N NT_OBJ,Média NT_OBJ,Mediana NT_OBJ,N NT_DIS,Média NT_DIS,Mediana NT_DIS,Percentil Brasil
Belém — Presencial,3.0,34,54.44764705882353,58.25,17.335377745195732,34,52.96764705882353,54.25,34,6.036764705882353,6.75,56.9620253164557
Salinópolis — Presencial,1.0,14,42.47285714285714,43.45,11.657031175396924,14,37.957142857142856,36.5,14,6.053571428571429,6.5,12.658227848101266
Ananindeua — Presencial,1.0,17,42.33294117647058,40.84,12.239201242680156,17,39.129411764705885,37.9,17,5.514705882352941,6.0,12.236286919831224
Abaetetuba — Presencial,1.0,42,38.45095238095238,38.74,13.067700043875416,42,33.91190476190476,32.3,42,5.660714285714286,6.25,6.329113924050633
Belém — EaD,1.0,24,30.905,28.6,9.398509132465824,24,26.2875,23.6,24,4.9375,5.25,1.6877637130801686
