Referência,N cursos,Média dos cursos,Mediana dos cursos,Média ponderada,P25,P75
UFPA agregada,5,41.72187955182072,42.33294117647058,42.15389312977099,38.45095238095238,42.47285714285714
Outras IES do Pará,3,41.523613053613055,41.41538461538461,41.517428571428574,40.2586013986014,42.73451048951048
Região Norte completa,25,43.9691705657088,44.053636363636365,42.95658402203857,39.10181818181818,49.10857142857143
Brasil completo,237,52.95715309111342,53.040000000000006,52.45346396965866,46.14615384615384,59.47714285714286
