CO_CURSO,primeira_geracaon_valido,primeira_geracaon_positivo,primeira_geracao_pct,mae_superiorn_valido,mae_superiorn_positivo,mae_superior_pct,pai_superiorn_valido,pai_superiorn_positivo,pai_superior_pct,renda_ate_3smn_valido,renda_ate_3smn_positivo,renda_ate_3sm_pct,trabalhan_valido,trabalhan_positivo,trabalha_pct,trabalha_40hn_valido,trabalha_40hn_positivo,trabalha_40h_pct,acao_afirmativan_valido,acao_afirmativan_positivo,acao_afirmativa_pct,auxilio_permanencian_valido,auxilio_permanencian_positivo,auxilio_permanencia_pct,bolsa_academican_valido,bolsa_academican_positivo,bolsa_academica_pct,estudo_4h_ou_maisn_valido,estudo_4h_ou_maisn_positivo,estudo_4h_ou_mais_pct,pretende_magisterion_valido,pretende_magisterion_positivo,pretende_magisterio_pct
102588,11,5,0.45454545454545453,12,2,0.16666666666666666,12,2,0.16666666666666666,13,13,1.0,13,6,0.46153846153846156,13,2,0.15384615384615385,13,3,0.23076923076923078,13,3,0.23076923076923078,13,10,0.7692307692307693,13,9,0.6923076923076923,13,11,0.8461538461538461
102944,6,2,0.3333333333333333,7,2,0.2857142857142857,6,1,0.16666666666666666,7,4,0.5714285714285714,7,6,0.8571428571428571,7,3,0.42857142857142855,7,3,0.42857142857142855,7,3,0.42857142857142855,5,4,0.8,7,6,0.8571428571428571,7,5,0.7142857142857143
103381,27,15,0.5555555555555556,29,3,0.10344827586206896,29,3,0.10344827586206896,29,28,0.9655172413793104,29,27,0.9310344827586207,29,12,0.41379310344827586,29,16,0.5517241379310345,29,14,0.4827586206896552,22,14,0.6363636363636364,29,16,0.5517241379310345,29,26,0.896551724137931
103572,20,14,0.7,20,2,0.1,19,0,0.0,20,11,0.55,20,19,0.95,20,10,0.5,20,3,0.15,20,1,0.05,14,10,0.7142857142857143,20,7,0.35,20,14,0.7
104282,6,1,0.16666666666666666,6,1,0.16666666666666666,5,1,0.2,6,5,0.8333333333333334,6,4,0.6666666666666666,6,3,0.5,6,4,0.6666666666666666,6,3,0.5,3,0,0.0,6,2,0.3333333333333333,6,4,0.6666666666666666
104814,15,11,0.7333333333333333,17,1,0.058823529411764705,17,1,0.058823529411764705,17,17,1.0,17,10,0.5882352941176471,17,4,0.23529411764705882,17,9,0.5294117647058824,17,8,0.47058823529411764,17,5,0.29411764705882354,17,10,0.5882352941176471,17,14,0.8235294117647058
106404,17,3,0.17647058823529413,17,4,0.23529411764705882,17,0,0.0,17,13,0.7647058823529411,17,15,0.8823529411764706,17,8,0.47058823529411764,17,6,0.35294117647058826,17,4,0.23529411764705882,15,2,0.13333333333333333,17,11,0.6470588235294118,17,17,1.0
107520,47,14,0.2978723404255319,47,12,0.2553191489361702,42,3,0.07142857142857142,49,38,0.7755102040816326,49,37,0.7551020408163265,49,13,0.2653061224489796,49,26,0.5306122448979592,49,10,0.20408163265306123,38,19,0.5,49,33,0.673469387755102,49,43,0.8775510204081632
108012,1,0,0.0,1,1,1.0,1,1,1.0,1,0,0.0,1,1,1.0,1,1,1.0,1,0,0.0,1,0,0.0,1,0,0.0,1,0,0.0,1,1,1.0
108730,14,4,0.2857142857142857,14,7,0.5,13,3,0.23076923076923078,14,7,0.5,14,9,0.6428571428571429,14,5,0.35714285714285715,14,7,0.5,14,10,0.7142857142857143,10,9,0.9,14,7,0.5,14,13,0.9285714285714286
108734,34,9,0.2647058823529412,35,8,0.22857142857142856,34,8,0.23529411764705882,35,18,0.5142857142857142,35,28,0.8,35,16,0.45714285714285713,35,2,0.05714285714285714,35,1,0.02857142857142857,35,7,0.2,35,25,0.7142857142857143,35,28,0.8
109356,8,1,0.125,8,0,0.0,7,0,0.0,9,7,0.7777777777777778,9,8,0.8888888888888888,9,5,0.5555555555555556,9,2,0.2222222222222222,9,0,0.0,9,0,0.0,9,3,0.3333333333333333,9,7,0.7777777777777778
109768,18,9,0.5,18,5,0.2777777777777778,15,1,0.06666666666666667,18,16,0.8888888888888888,18,11,0.6111111111111112,18,1,0.05555555555555555,18,8,0.4444444444444444,18,2,0.1111111111111111,18,8,0.4444444444444444,18,11,0.6111111111111112,18,17,0.9444444444444444
109948,34,11,0.3235294117647059,34,5,0.14705882352941177,28,2,0.07142857142857142,35,26,0.7428571428571429,35,30,0.8571428571428571,35,17,0.4857142857142857,35,17,0.4857142857142857,35,0,0.0,35,1,0.02857142857142857,35,19,0.5428571428571428,35,29,0.8285714285714286
111506,5,1,0.2,5,2,0.4,5,1,0.2,5,2,0.4,5,5,1.0,5,3,0.6,5,1,0.2,5,1,0.2,4,1,0.25,5,2,0.4,5,5,1.0
113030,16,4,0.25,16,2,0.125,14,0,0.0,18,16,0.8888888888888888,18,13,0.7222222222222222,18,6,0.3333333333333333,18,5,0.2777777777777778,18,1,0.05555555555555555,18,11,0.6111111111111112,18,12,0.6666666666666666,18,15,0.8333333333333334
113295,14,8,0.5714285714285714,14,3,0.21428571428571427,13,1,0.07692307692307693,14,5,0.35714285714285715,14,9,0.6428571428571429,14,0,0.0,14,4,0.2857142857142857,14,6,0.42857142857142855,8,7,0.875,14,11,0.7857142857142857,14,12,0.8571428571428571
113490,43,5,0.11627906976744186,47,23,0.48936170212765956,46,16,0.34782608695652173,47,24,0.5106382978723404,47,40,0.851063829787234,47,12,0.2553191489361702,47,20,0.425531914893617,47,15,0.3191489361702128,33,15,0.45454545454545453,47,27,0.574468085106383,47,35,0.7446808510638298
113589,7,4,0.5714285714285714,7,0,0.0,7,0,0.0,7,7,1.0,7,5,0.7142857142857143,7,0,0.0,7,3,0.42857142857142855,7,4,0.5714285714285714,2,2,1.0,7,4,0.5714285714285714,7,7,1.0
113907,64,24,0.375,65,5,0.07692307692307693,60,3,0.05,66,38,0.5757575757575758,66,61,0.9242424242424242,66,46,0.696969696969697,66,15,0.22727272727272727,66,3,0.045454545454545456,66,16,0.24242424242424243,66,40,0.6060606060606061,66,59,0.8939393939393939
113953,27,14,0.5185185185185185,28,1,0.03571428571428571,24,1,0.041666666666666664,30,29,0.9666666666666667,30,15,0.5,30,1,0.03333333333333333,30,8,0.26666666666666666,30,8,0.26666666666666666,25,19,0.76,30,25,0.8333333333333334,30,27,0.9
114388,2,1,0.5,2,1,0.5,1,0,0.0,3,1,0.3333333333333333,3,3,1.0,3,3,1.0,3,2,0.6666666666666666,3,1,0.3333333333333333,0,0,,3,2,0.6666666666666666,3,0,0.0
114556,12,5,0.4166666666666667,11,3,0.2727272727272727,12,4,0.3333333333333333,13,8,0.6153846153846154,13,7,0.5384615384615384,13,3,0.23076923076923078,13,4,0.3076923076923077,13,5,0.38461538461538464,6,5,0.8333333333333334,13,10,0.7692307692307693,13,9,0.6923076923076923
114853,87,42,0.4827586206896552,90,15,0.16666666666666666,87,4,0.04597701149425287,91,84,0.9230769230769231,91,30,0.32967032967032966,91,12,0.13186813186813187,91,65,0.7142857142857143,91,44,0.4835164835164835,77,17,0.22077922077922077,91,49,0.5384615384615384,91,85,0.9340659340659341
115086,9,2,0.2222222222222222,9,3,0.3333333333333333,9,2,0.2222222222222222,9,4,0.4444444444444444,9,7,0.7777777777777778,9,4,0.4444444444444444,9,6,0.6666666666666666,9,1,0.1111111111111111,6,5,0.8333333333333334,9,7,0.7777777777777778,9,5,0.5555555555555556
116144,13,5,0.38461538461538464,13,1,0.07692307692307693,13,1,0.07692307692307693,13,8,0.6153846153846154,13,12,0.9230769230769231,13,9,0.6923076923076923,13,4,0.3076923076923077,13,3,0.23076923076923078,7,4,0.5714285714285714,13,10,0.7692307692307693,13,9,0.6923076923076923
116730,5,2,0.4,5,0,0.0,5,0,0.0,5,3,0.6,5,5,1.0,5,2,0.4,5,4,0.8,5,1,0.2,3,2,0.6666666666666666,5,3,0.6,5,4,0.8
116820,3,2,0.6666666666666666,3,0,0.0,3,0,0.0,3,1,0.3333333333333333,3,3,1.0,3,3,1.0,3,2,0.6666666666666666,3,1,0.3333333333333333,2,1,0.5,3,1,0.3333333333333333,3,2,0.6666666666666666
116856,10,5,0.5,10,2,0.2,10,1,0.1,10,6,0.6,10,3,0.3,10,2,0.2,10,5,0.5,10,7,0.7,3,2,0.6666666666666666,10,9,0.9,10,10,1.0
116882,16,5,0.3125,16,5,0.3125,13,3,0.23076923076923078,16,6,0.375,16,13,0.8125,16,5,0.3125,16,6,0.375,16,9,0.5625,4,2,0.5,16,12,0.75,16,15,0.9375
