CO_CURSO,RESPOSTA,n,VARIAVEL
1576008,6,1,QE_I69
1576008,9,2,QE_I69
1576008,10,1,QE_I69
1576008,,2,QE_I69
1576347,,1,QE_I69
1576448,8,2,QE_I69
1576448,9,1,QE_I69
1576448,,2,QE_I69
1576702,,1,QE_I69
1577419,5,2,QE_I69
1577419,8,1,QE_I69
1577419,9,1,QE_I69
1577419,10,1,QE_I69
1577419,,3,QE_I69
1584375,,1,QE_I69
1591417,8,1,QE_I69
1591417,10,1,QE_I69
1591417,,3,QE_I69
1591581,8,1,QE_I69
1591581,,8,QE_I69
1595470,,1,QE_I69
1595646,8,2,QE_I69
1595646,9,2,QE_I69
1595646,10,12,QE_I69
1595781,8,1,QE_I69
1595781,9,2,QE_I69
1596704,4,1,QE_I69
1596704,7,1,QE_I69
1596704,10,1,QE_I69
1597098,,1,QE_I69
1598572,8,1,QE_I69
1598572,10,4,QE_I69
1598970,9,1,QE_I69
1598970,10,1,QE_I69
1599021,2,1,QE_I69
1599021,7,2,QE_I69
1599021,8,4,QE_I69
1599021,9,6,QE_I69
1599021,10,16,QE_I69
1599390,,1,QE_I69
1611291,6,3,QE_I69
1611291,7,2,QE_I69
1611291,8,5,QE_I69
1611291,9,4,QE_I69
1611291,10,22,QE_I69
1611291,,1,QE_I69
1611292,7,1,QE_I69
1611292,8,1,QE_I69
1611292,9,2,QE_I69
1611292,10,6,QE_I69
1615079,3,1,QE_I69
1615079,9,1,QE_I69
1615079,10,3,QE_I69
1625069,8,6,QE_I69
1625069,9,3,QE_I69
1625069,10,19,QE_I69
1625081,9,1,QE_I69
1625081,10,12,QE_I69
1625089,8,1,QE_I69
1625089,10,18,QE_I69
1625094,8,1,QE_I69
1625094,9,3,QE_I69
1625094,10,10,QE_I69
1634832,7,1,QE_I69
1634832,9,1,QE_I69
1634832,10,2,QE_I69
1634832,,3,QE_I69
1634842,8,1,QE_I69
1634842,9,2,QE_I69
1634877,,2,QE_I69
1634891,8,1,QE_I69
1634891,9,2,QE_I69
1634891,10,2,QE_I69
1634891,,6,QE_I69
1668061,6,1,QE_I69
1668061,9,1,QE_I69
1668061,10,2,QE_I69
1676716,9,2,QE_I69
1676716,10,13,QE_I69
5000138,6,1,QE_I69
5000138,7,1,QE_I69
5000138,10,7,QE_I69
5000487,3,2,QE_I69
5000487,7,3,QE_I69
5000487,8,3,QE_I69
5000487,9,1,QE_I69
5000487,10,3,QE_I69
5000493,5,1,QE_I69
5000493,6,1,QE_I69
5000493,8,3,QE_I69
5000493,9,4,QE_I69
5000493,10,1,QE_I69
5000493,,1,QE_I69
5000912,10,4,QE_I69
5001337,1,1,QE_I69
5001337,3,1,QE_I69
5001337,6,2,QE_I69
5001337,7,2,QE_I69
5001337,8,4,QE_I69
5001337,9,3,QE_I69
5001337,10,17,QE_I69
5001337,,2,QE_I69
26,A,13,QE_I70
34,A,6,QE_I70
34,,1,QE_I70
161,A,13,QE_I70
161,B,2,QE_I70
161,C,1,QE_I70
161,F,5,QE_I70
161,,9,QE_I70
297,A,63,QE_I70
297,E,1,QE_I70
297,F,4,QE_I70
297,,7,QE_I70
379,A,43,QE_I70
379,F,3,QE_I70
379,,22,QE_I70
624,A,7,QE_I70
624,F,1,QE_I70
637,A,12,QE_I70
637,F,4,QE_I70
637,,1,QE_I70
696,A,13,QE_I70
696,F,3,QE_I70
696,,1,QE_I70
768,A,11,QE_I70
768,B,1,QE_I70
768,E,5,QE_I70
860,A,4,QE_I70
860,B,1,QE_I70
860,E,4,QE_I70
965,A,40,QE_I70
965,F,1,QE_I70
965,,1,QE_I70
1035,A,15,QE_I70
1035,B,1,QE_I70
1112,A,3,QE_I70
1112,,1,QE_I70
1428,A,6,QE_I70
1428,E,1,QE_I70
1428,F,1,QE_I70
1428,,1,QE_I70
1637,A,2,QE_I70
1637,E,2,QE_I70
1637,F,3,QE_I70
1717,A,5,QE_I70
1717,E,1,QE_I70
1717,F,1,QE_I70
1717,,1,QE_I70
1907,,1,QE_I70
2711,A,21,QE_I70
2711,B,1,QE_I70
2711,D,1,QE_I70
2711,E,3,QE_I70
2711,F,9,QE_I70
2711,,6,QE_I70
2921,A,51,QE_I70
2921,C,2,QE_I70
2921,E,3,QE_I70
2921,F,21,QE_I70
2921,,6,QE_I70
3145,A,10,QE_I70
3145,B,2,QE_I70
3145,F,6,QE_I70
3145,,1,QE_I70
3163,A,18,QE_I70
3163,F,1,QE_I70
3163,,1,QE_I70
3179,A,29,QE_I70
3179,E,1,QE_I70
3179,F,2,QE_I70
3179,,2,QE_I70
3217,A,25,QE_I70
3217,B,1,QE_I70
3217,F,7,QE_I70
3217,,1,QE_I70
3407,A,9,QE_I70
3407,B,1,QE_I70
3407,E,4,QE_I70
3407,F,2,QE_I70
3407,,4,QE_I70
3571,A,25,QE_I70
3571,E,1,QE_I70
3571,F,1,QE_I70
3571,,3,QE_I70
5965,A,11,QE_I70
5965,B,1,QE_I70
5965,C,1,QE_I70
5965,F,2,QE_I70
6754,D,1,QE_I70
6754,E,1,QE_I70
6754,F,1,QE_I70
7081,A,10,QE_I70
7081,E,1,QE_I70
7081,,1,QE_I70
8908,A,2,QE_I70
9954,A,10,QE_I70
9954,E,1,QE_I70
9954,F,1,QE_I70
10508,A,4,QE_I70
10508,F,1,QE_I70
10508,,6,QE_I70
10811,A,5,QE_I70
11163,A,4,QE_I70
11163,B,1,QE_I70
11163,C,1,QE_I70
11163,,1,QE_I70
11305,A,19,QE_I70
11305,F,1,QE_I70
11305,,7,QE_I70
11328,A,11,QE_I70
11328,D,1,QE_I70
11328,F,1,QE_I70
11328,,1,QE_I70
11439,A,20,QE_I70
11439,B,1,QE_I70
11439,,9,QE_I70
11540,A,13,QE_I70
11540,B,1,QE_I70
11540,D,1,QE_I70
11540,F,2,QE_I70
11591,A,27,QE_I70
11591,D,1,QE_I70
11591,E,3,QE_I70
11591,F,1,QE_I70
11591,,20,QE_I70
11999,A,57,QE_I70
11999,C,1,QE_I70
11999,E,1,QE_I70
11999,F,3,QE_I70
11999,,6,QE_I70
12033,A,34,QE_I70
12033,E,1,QE_I70
12033,F,1,QE_I70
12033,,13,QE_I70
12035,A,46,QE_I70
12035,B,1,QE_I70
12035,E,5,QE_I70
12035,F,3,QE_I70
12035,,13,QE_I70
12037,A,28,QE_I70
12037,B,2,QE_I70
12037,F,1,QE_I70
12044,A,31,QE_I70
12044,B,1,QE_I70
12044,D,1,QE_I70
12044,E,2,QE_I70
12044,F,1,QE_I70
12044,,9,QE_I70
12074,A,72,QE_I70
12074,B,1,QE_I70
12074,C,1,QE_I70
12074,D,1,QE_I70
12074,E,3,QE_I70
12074,F,1,QE_I70
12074,,7,QE_I70
12354,A,19,QE_I70
12354,,1,QE_I70
12553,A,13,QE_I70
12553,E,3,QE_I70
12553,F,5,QE_I70
12553,,9,QE_I70
12702,A,57,QE_I70
12702,F,4,QE_I70
12702,,5,QE_I70
12713,A,24,QE_I70
12806,A,14,QE_I70
12806,B,1,QE_I70
12806,E,1,QE_I70
12806,F,1,QE_I70
12918,A,28,QE_I70
12918,F,2,QE_I70
12969,A,37,QE_I70
12969,C,1,QE_I70
12969,E,6,QE_I70
12969,F,13,QE_I70
12969,,7,QE_I70
13102,A,10,QE_I70
13102,D,1,QE_I70
13102,F,2,QE_I70
13102,,1,QE_I70
13276,A,28,QE_I70
13276,F,2,QE_I70
13276,,2,QE_I70
13402,A,50,QE_I70
13402,B,2,QE_I70
13402,C,1,QE_I70
13402,F,2,QE_I70
13402,,11,QE_I70
13448,A,16,QE_I70
13448,C,1,QE_I70
13619,A,17,QE_I70
13619,C,1,QE_I70
13619,E,1,QE_I70
13619,F,2,QE_I70
13619,,6,QE_I70
13741,A,18,QE_I70
13741,C,1,QE_I70
13741,E,8,QE_I70
13741,F,2,QE_I70
13741,,4,QE_I70
13873,A,11,QE_I70
13873,E,2,QE_I70
14121,A,11,QE_I70
14121,F,1,QE_I70
14121,,1,QE_I70
14233,A,20,QE_I70
14233,C,1,QE_I70
14233,E,4,QE_I70
14233,F,5,QE_I70
14233,,4,QE_I70
14328,A,72,QE_I70
14328,B,1,QE_I70
14328,C,1,QE_I70
14328,F,10,QE_I70
14328,,10,QE_I70
14505,A,37,QE_I70
14505,C,1,QE_I70
14505,,15,QE_I70
14542,A,9,QE_I70
14542,E,1,QE_I70
14542,F,1,QE_I70
14700,A,7,QE_I70
14700,B,1,QE_I70
14700,C,1,QE_I70
14700,E,4,QE_I70
14700,F,2,QE_I70
14700,,2,QE_I70
15000,A,6,QE_I70
15000,F,2,QE_I70
15413,A,38,QE_I70
15413,F,3,QE_I70
15413,,7,QE_I70
15629,A,6,QE_I70
15629,E,1,QE_I70
15833,A,11,QE_I70
15833,B,1,QE_I70
15833,C,1,QE_I70
15833,F,2,QE_I70
15862,A,6,QE_I70
15862,E,1,QE_I70
15862,F,1,QE_I70
15862,,2,QE_I70
15865,A,2,QE_I70
15865,F,3,QE_I70
15865,,1,QE_I70
15868,A,10,QE_I70
15868,B,1,QE_I70
15868,F,2,QE_I70
15868,,1,QE_I70
16009,A,28,QE_I70
16009,D,1,QE_I70
16009,,10,QE_I70
16010,A,8,QE_I70
16010,F,1,QE_I70
16010,,1,QE_I70
16268,A,23,QE_I70
16268,F,1,QE_I70
16268,,8,QE_I70
16272,A,8,QE_I70
16272,F,1,QE_I70
16403,A,9,QE_I70
16403,B,1,QE_I70
16403,E,1,QE_I70
16403,F,1,QE_I70
16403,,1,QE_I70
17154,A,9,QE_I70
17154,,10,QE_I70
17196,A,23,QE_I70
17196,E,1,QE_I70
17196,F,3,QE_I70
17196,,12,QE_I70
18354,,1,QE_I70
18382,A,8,QE_I70
18382,B,1,QE_I70
18877,A,9,QE_I70
18892,A,14,QE_I70
18892,E,1,QE_I70
18892,,1,QE_I70
18954,A,5,QE_I70
18954,E,1,QE_I70
18959,A,2,QE_I70
18959,E,2,QE_I70
18959,F,2,QE_I70
18961,A,16,QE_I70
18961,E,1,QE_I70
18961,F,2,QE_I70
18961,,3,QE_I70
19026,,1,QE_I70
19060,A,44,QE_I70
19060,B,1,QE_I70
19060,F,2,QE_I70
19060,,2,QE_I70
19077,A,10,QE_I70
19077,B,1,QE_I70
19077,E,1,QE_I70
19077,F,1,QE_I70
19077,,8,QE_I70
19191,A,4,QE_I70
19367,D,1,QE_I70
19367,E,1,QE_I70
19396,A,7,QE_I70
19396,D,1,QE_I70
19396,F,1,QE_I70
20315,A,8,QE_I70
20315,E,3,QE_I70
20392,A,38,QE_I70
20392,E,2,QE_I70
20392,F,2,QE_I70
20392,,1,QE_I70
20578,A,9,QE_I70
20578,F,1,QE_I70
20854,A,16,QE_I70
20854,F,1,QE_I70
20854,,1,QE_I70
21427,A,10,QE_I70
21427,E,1,QE_I70
21443,A,30,QE_I70
21443,F,1,QE_I70
21443,,12,QE_I70
21578,A,6,QE_I70
21808,A,4,QE_I70
21808,F,1,QE_I70
21822,A,9,QE_I70
21869,A,10,QE_I70
21876,A,8,QE_I70
21876,,2,QE_I70
21879,A,13,QE_I70
21879,F,1,QE_I70
21892,,1,QE_I70
27518,A,9,QE_I70
27518,B,1,QE_I70
27518,,3,QE_I70
29447,A,13,QE_I70
29447,B,1,QE_I70
29447,E,1,QE_I70
29447,F,1,QE_I70
38246,A,15,QE_I70
38246,B,1,QE_I70
38246,E,3,QE_I70
38246,,4,QE_I70
38431,A,1,QE_I70
38431,E,1,QE_I70
38431,F,4,QE_I70
38431,,2,QE_I70
38678,A,14,QE_I70
38678,B,1,QE_I70
39715,A,4,QE_I70
41069,A,5,QE_I70
41069,F,1,QE_I70
41490,A,13,QE_I70
41490,E,1,QE_I70
41490,F,1,QE_I70
41490,,1,QE_I70
43037,A,21,QE_I70
43037,,5,QE_I70
43084,A,5,QE_I70
43084,B,1,QE_I70
43084,,3,QE_I70
44372,A,22,QE_I70
44372,F,3,QE_I70
44372,,7,QE_I70
45102,A,4,QE_I70
45102,F,1,QE_I70
45102,,2,QE_I70
45701,A,6,QE_I70
45701,F,1,QE_I70
45703,A,7,QE_I70
46729,A,9,QE_I70
46729,B,2,QE_I70
46729,,2,QE_I70
47333,A,6,QE_I70
48289,A,31,QE_I70
48289,F,2,QE_I70
48289,,1,QE_I70
48946,A,9,QE_I70
48946,E,1,QE_I70
48946,F,1,QE_I70
49324,A,31,QE_I70
49324,B,1,QE_I70
49324,D,1,QE_I70
49324,F,4,QE_I70
49324,,46,QE_I70
50439,A,3,QE_I70
52068,,2,QE_I70
52139,A,4,QE_I70
52139,,2,QE_I70
52442,A,39,QE_I70
52442,E,1,QE_I70
55811,A,7,QE_I70
55811,B,3,QE_I70
55811,E,2,QE_I70
55811,F,2,QE_I70
55811,,4,QE_I70
58522,A,10,QE_I70
58522,E,2,QE_I70
58522,,1,QE_I70
58526,A,7,QE_I70
58526,E,1,QE_I70
58526,F,1,QE_I70
58588,A,15,QE_I70
58588,B,1,QE_I70
58588,E,1,QE_I70
58588,,2,QE_I70
59272,A,22,QE_I70
59272,E,1,QE_I70
59272,F,4,QE_I70
59426,A,56,QE_I70
59426,B,2,QE_I70
59426,C,1,QE_I70
59426,D,1,QE_I70
59426,E,5,QE_I70
59426,F,1,QE_I70
59426,,3,QE_I70
59996,A,41,QE_I70
59996,E,2,QE_I70
59996,,11,QE_I70
60290,A,6,QE_I70
60290,F,1,QE_I70
60760,A,25,QE_I70
60760,B,2,QE_I70
60760,C,1,QE_I70
60760,F,2,QE_I70
60760,,1,QE_I70
61024,A,15,QE_I70
61669,A,12,QE_I70
61669,E,1,QE_I70
61669,F,1,QE_I70
61669,,4,QE_I70
63062,A,26,QE_I70
63062,E,2,QE_I70
63062,,4,QE_I70
63383,A,18,QE_I70
63383,B,1,QE_I70
63383,C,1,QE_I70
63383,E,4,QE_I70
63383,F,1,QE_I70
63383,,7,QE_I70
64604,A,10,QE_I70
64604,E,1,QE_I70
68313,A,5,QE_I70
68313,C,1,QE_I70
68511,A,26,QE_I70
68511,C,1,QE_I70
68511,E,1,QE_I70
68511,F,5,QE_I70
68511,,4,QE_I70
70522,A,15,QE_I70
70522,F,3,QE_I70
70522,,3,QE_I70
71037,A,4,QE_I70
71037,E,2,QE_I70
71037,F,2,QE_I70
71037,,1,QE_I70
71419,A,10,QE_I70
71419,E,1,QE_I70
71419,F,4,QE_I70
74276,,6,QE_I70
76212,A,1,QE_I70
76212,F,1,QE_I70
80827,A,4,QE_I70
80827,E,1,QE_I70
81423,A,20,QE_I70
81423,E,1,QE_I70
81423,F,1,QE_I70
81423,,1,QE_I70
81660,A,9,QE_I70
81812,A,13,QE_I70
81812,E,1,QE_I70
81812,F,3,QE_I70
81812,,2,QE_I70
82658,A,35,QE_I70
82658,B,3,QE_I70
82658,E,1,QE_I70
83289,A,11,QE_I70
83289,E,1,QE_I70
83289,F,1,QE_I70
83289,,4,QE_I70
83302,A,33,QE_I70
83302,B,1,QE_I70
83302,F,1,QE_I70
83312,A,13,QE_I70
83312,B,2,QE_I70
83312,E,1,QE_I70
83312,F,2,QE_I70
83312,,1,QE_I70
83318,A,21,QE_I70
83318,,1,QE_I70
83330,A,10,QE_I70
83330,B,1,QE_I70
83330,F,1,QE_I70
83330,,2,QE_I70
83929,A,19,QE_I70
83929,B,1,QE_I70
83929,E,2,QE_I70
84374,A,9,QE_I70
84374,F,1,QE_I70
85320,A,19,QE_I70
85320,E,2,QE_I70
85320,F,1,QE_I70
85760,A,14,QE_I70
85760,B,1,QE_I70
85760,E,2,QE_I70
85760,,2,QE_I70
86396,A,15,QE_I70
86396,B,1,QE_I70
86396,C,1,QE_I70
86396,F,4,QE_I70
86396,,13,QE_I70
88788,A,17,QE_I70
88788,B,1,QE_I70
88788,C,1,QE_I70
88788,E,8,QE_I70
88788,F,2,QE_I70
88788,,5,QE_I70
92391,A,9,QE_I70
92391,B,1,QE_I70
92391,C,1,QE_I70
92391,,1,QE_I70
94692,A,3,QE_I70
94692,,2,QE_I70
95055,A,17,QE_I70
95221,A,1,QE_I70
95221,B,1,QE_I70
95221,C,1,QE_I70
95221,E,1,QE_I70
95221,F,2,QE_I70
95221,,1,QE_I70
96158,A,27,QE_I70
96158,B,1,QE_I70
96158,E,1,QE_I70
96158,F,9,QE_I70
96158,,6,QE_I70
96913,A,13,QE_I70
96913,E,1,QE_I70
96913,F,2,QE_I70
96913,,1,QE_I70
96955,A,1,QE_I70
96955,B,1,QE_I70
96955,F,1,QE_I70
99045,A,32,QE_I70
99045,D,1,QE_I70
99045,E,5,QE_I70
99045,F,3,QE_I70
99045,,6,QE_I70
99503,A,12,QE_I70
99503,C,1,QE_I70
99503,,1,QE_I70
99806,A,38,QE_I70
99806,B,1,QE_I70
99806,E,1,QE_I70
99806,F,3,QE_I70
99898,A,4,QE_I70
99898,B,1,QE_I70
99898,D,1,QE_I70
99898,E,1,QE_I70
99898,F,1,QE_I70
99898,,1,QE_I70
99952,A,640,QE_I70
99952,B,68,QE_I70
99952,C,25,QE_I70
99952,D,15,QE_I70
99952,E,147,QE_I70
99952,F,85,QE_I70
99952,,216,QE_I70
100309,A,62,QE_I70
100309,C,2,QE_I70
100309,E,6,QE_I70
100309,F,6,QE_I70
100309,,33,QE_I70
100369,A,3,QE_I70
100369,B,1,QE_I70
100369,E,2,QE_I70
100369,F,1,QE_I70
100369,,1,QE_I70
100373,A,16,QE_I70
100373,E,1,QE_I70
100373,,4,QE_I70
100412,A,12,QE_I70
100412,,1,QE_I70
100620,A,7,QE_I70
100620,B,1,QE_I70
100620,E,1,QE_I70
100620,F,1,QE_I70
100620,,3,QE_I70
100690,A,44,QE_I70
100690,B,1,QE_I70
100690,C,1,QE_I70
100690,E,3,QE_I70
100690,F,1,QE_I70
100690,,1,QE_I70
100724,A,11,QE_I70
100724,B,3,QE_I70
100724,E,4,QE_I70
100724,F,1,QE_I70
100724,,6,QE_I70
100775,A,7,QE_I70
100775,B,1,QE_I70
100808,A,10,QE_I70
100916,A,8,QE_I70
100916,E,2,QE_I70
101556,A,6,QE_I70
101556,F,1,QE_I70
101556,,1,QE_I70
102152,A,24,QE_I70
102152,F,1,QE_I70
102152,,3,QE_I70
102430,A,25,QE_I70
102430,B,1,QE_I70
102430,E,2,QE_I70
102430,F,1,QE_I70
102576,A,68,QE_I70
102576,E,2,QE_I70
102576,F,1,QE_I70
102588,A,11,QE_I70
102588,E,2,QE_I70
102588,,6,QE_I70
102944,A,6,QE_I70
102944,F,1,QE_I70
103381,A,24,QE_I70
103381,D,1,QE_I70
103381,E,4,QE_I70
103381,,2,QE_I70
103572,A,11,QE_I70
103572,B,2,QE_I70
103572,E,5,QE_I70
103572,F,2,QE_I70
104282,A,6,QE_I70
104814,A,12,QE_I70
104814,B,1,QE_I70
104814,C,1,QE_I70
104814,E,2,QE_I70
104814,F,1,QE_I70
104814,,4,QE_I70
106404,A,16,QE_I70
106404,C,1,QE_I70
106404,,3,QE_I70
107520,A,42,QE_I70
107520,B,2,QE_I70
107520,E,3,QE_I70
107520,F,2,QE_I70
107520,,2,QE_I70
108012,A,1,QE_I70
108012,,1,QE_I70
108730,A,14,QE_I70
108734,A,30,QE_I70
108734,E,1,QE_I70
108734,F,4,QE_I70
108734,,5,QE_I70
109356,A,6,QE_I70
109356,B,1,QE_I70
109356,E,1,QE_I70
109356,F,1,QE_I70
109356,,18,QE_I70
109768,A,16,QE_I70
109768,E,2,QE_I70
109948,A,27,QE_I70
109948,B,1,QE_I70
109948,C,1,QE_I70
109948,D,1,QE_I70
109948,E,2,QE_I70
109948,F,3,QE_I70
109948,,12,QE_I70
111506,A,2,QE_I70
111506,B,1,QE_I70
111506,E,2,QE_I70
111506,,1,QE_I70
113030,A,18,QE_I70
113295,A,14,QE_I70
113490,A,38,QE_I70
113490,B,1,QE_I70
113490,C,1,QE_I70
113490,E,2,QE_I70
113490,F,5,QE_I70
113490,,4,QE_I70
113589,A,7,QE_I70
113907,A,60,QE_I70
113907,B,2,QE_I70
113907,C,1,QE_I70
113907,D,1,QE_I70
113907,F,2,QE_I70
113907,,15,QE_I70
113953,A,30,QE_I70
114388,A,2,QE_I70
114388,F,1,QE_I70
114388,,2,QE_I70
114556,A,12,QE_I70
114556,F,1,QE_I70
114853,A,84,QE_I70
114853,B,1,QE_I70
114853,C,1,QE_I70
114853,D,1,QE_I70
114853,E,3,QE_I70
114853,F,1,QE_I70
114853,,44,QE_I70
115086,A,7,QE_I70
115086,F,2,QE_I70
115086,,2,QE_I70
116144,A,6,QE_I70
116144,B,1,QE_I70
116144,C,1,QE_I70
116144,E,2,QE_I70
116144,F,3,QE_I70
116730,A,4,QE_I70
116730,E,1,QE_I70
116820,A,2,QE_I70
116820,E,1,QE_I70
116856,A,8,QE_I70
116856,B,1,QE_I70
116856,F,1,QE_I70
116856,,1,QE_I70
116882,A,10,QE_I70
116882,B,1,QE_I70
116882,E,5,QE_I70
117196,A,1,QE_I70
117196,B,1,QE_I70
118100,A,53,QE_I70
118100,C,1,QE_I70
118100,D,1,QE_I70
118100,E,2,QE_I70
118100,F,1,QE_I70
118564,A,3,QE_I70
118564,F,1,QE_I70
120389,A,9,QE_I70
120389,E,1,QE_I70
120389,F,1,QE_I70
120389,,2,QE_I70
120767,A,1,QE_I70
120767,B,1,QE_I70
121013,A,19,QE_I70
121013,D,1,QE_I70
121013,F,3,QE_I70
121013,,3,QE_I70
121792,A,6,QE_I70
122122,A,19,QE_I70
122122,B,1,QE_I70
122122,E,3,QE_I70
122122,F,5,QE_I70
122122,,1,QE_I70
122358,,1,QE_I70
122746,A,16,QE_I70
122746,B,1,QE_I70
122746,E,1,QE_I70
122746,,1,QE_I70
123356,A,8,QE_I70
123356,B,1,QE_I70
123356,D,1,QE_I70
123356,E,1,QE_I70
123356,F,2,QE_I70
123356,,18,QE_I70
123472,A,41,QE_I70
123472,B,4,QE_I70
123472,E,3,QE_I70
123472,F,8,QE_I70
123472,,22,QE_I70
123494,A,2,QE_I70
123519,A,11,QE_I70
123519,E,2,QE_I70
123787,A,2,QE_I70
123787,,1,QE_I70
300520,A,17,QE_I70
300520,B,1,QE_I70
300520,D,1,QE_I70
300520,E,2,QE_I70
300520,F,1,QE_I70
300520,,9,QE_I70
312333,A,33,QE_I70
312333,B,1,QE_I70
312333,E,1,QE_I70
312333,F,5,QE_I70
312333,,3,QE_I70
1101770,A,33,QE_I70
1101770,C,1,QE_I70
1101770,E,1,QE_I70
1101770,F,8,QE_I70
1101770,,3,QE_I70
1102402,A,13,QE_I70
1102402,E,1,QE_I70
1102402,F,7,QE_I70
1102402,,15,QE_I70
1102641,A,4,QE_I70
1102795,A,7,QE_I70
1102795,E,1,QE_I70
1102795,F,1,QE_I70
1102795,,1,QE_I70
1102963,A,3,QE_I70
1102963,F,1,QE_I70
1103025,A,9,QE_I70
1103025,E,1,QE_I70
1103031,A,4,QE_I70
1103031,E,2,QE_I70
1103031,F,4,QE_I70
1103032,A,4,QE_I70
1103185,A,2,QE_I70
1103461,A,14,QE_I70
1103461,F,1,QE_I70
1103556,A,10,QE_I70
1103556,C,2,QE_I70
1103556,E,1,QE_I70
1103556,F,1,QE_I70
1103556,,6,QE_I70
1103657,A,13,QE_I70
1103657,F,1,QE_I70
1103657,,1,QE_I70
1103813,A,26,QE_I70
1103813,B,1,QE_I70
1103813,E,2,QE_I70
1103813,,1,QE_I70
1103910,A,11,QE_I70
1103910,D,1,QE_I70
1103910,E,4,QE_I70
1103910,F,2,QE_I70
1103910,,6,QE_I70
1103911,A,25,QE_I70
1103911,C,1,QE_I70
1103911,E,1,QE_I70
1103911,F,1,QE_I70
1103912,A,7,QE_I70
1103912,C,1,QE_I70
1103912,F,2,QE_I70
1103912,,1,QE_I70
1103914,A,22,QE_I70
1103914,B,1,QE_I70
1103914,C,1,QE_I70
1103914,E,1,QE_I70
1103914,,1,QE_I70
1105218,A,19,QE_I70
1105218,B,1,QE_I70
1105218,E,1,QE_I70
1105218,F,1,QE_I70
1105218,,3,QE_I70
1106721,A,5,QE_I70
1106721,C,1,QE_I70
1108212,A,18,QE_I70
1108212,E,4,QE_I70
1108212,F,1,QE_I70
1108212,,1,QE_I70
1111510,A,5,QE_I70
1111510,,1,QE_I70
1117203,A,5,QE_I70
1117203,B,1,QE_I70
1117203,E,1,QE_I70
1117203,F,3,QE_I70
1122743,A,14,QE_I70
1122743,D,1,QE_I70
1122743,,2,QE_I70
1123270,A,19,QE_I70
1123270,B,2,QE_I70
1123270,F,1,QE_I70
1123270,,2,QE_I70
1126144,A,3,QE_I70
1126144,E,4,QE_I70
1127113,A,21,QE_I70
1127113,B,1,QE_I70
1127113,E,4,QE_I70
1127113,,5,QE_I70
1127676,A,7,QE_I70
1127676,E,1,QE_I70
1127676,F,2,QE_I70
1128030,A,12,QE_I70
1128030,E,5,QE_I70
1128096,A,22,QE_I70
1128096,E,1,QE_I70
1128096,F,2,QE_I70
1128169,A,32,QE_I70
1128169,B,4,QE_I70
1128169,E,7,QE_I70
1128169,F,4,QE_I70
1128169,,1,QE_I70
1128360,A,10,QE_I70
1128360,B,1,QE_I70
1128360,E,2,QE_I70
1128360,,2,QE_I70
1128375,A,4,QE_I70
1128375,E,2,QE_I70
1128375,,2,QE_I70
1128378,A,11,QE_I70
1128378,,3,QE_I70
1128936,A,11,QE_I70
1128936,F,1,QE_I70
1128936,,3,QE_I70
1128938,A,12,QE_I70
1129073,A,9,QE_I70
1129073,B,1,QE_I70
1129073,E,1,QE_I70
1131697,A,22,QE_I70
1131697,F,4,QE_I70
1131697,,3,QE_I70
1135958,A,3,QE_I70
1137846,A,18,QE_I70
1137846,B,1,QE_I70
1137846,E,1,QE_I70
1137846,F,2,QE_I70
1137846,,5,QE_I70
1139335,A,3,QE_I70
1139335,E,1,QE_I70
1139335,,1,QE_I70
1140021,A,8,QE_I70
1140021,B,2,QE_I70
1140021,C,2,QE_I70
1140021,D,1,QE_I70
1140021,E,3,QE_I70
1140021,F,2,QE_I70
1140021,,1,QE_I70
1142320,A,8,QE_I70
1142320,F,2,QE_I70
1151457,A,2,QE_I70
1151457,D,1,QE_I70
1151457,E,3,QE_I70
1151457,,10,QE_I70
1152312,A,4,QE_I70
1152591,A,5,QE_I70
1152591,E,1,QE_I70
1152591,F,1,QE_I70
1152591,,2,QE_I70
1152637,A,8,QE_I70
1152637,B,1,QE_I70
1152637,E,5,QE_I70
1152637,F,1,QE_I70
1152880,A,25,QE_I70
1152880,F,1,QE_I70
1153801,A,26,QE_I70
1153801,E,3,QE_I70
1153801,F,4,QE_I70
1153801,,11,QE_I70
1154825,A,18,QE_I70
1154825,,4,QE_I70
1155366,A,12,QE_I70
1155366,D,1,QE_I70
1155366,E,1,QE_I70
1155366,F,2,QE_I70
1155366,,5,QE_I70
1156565,A,4,QE_I70
1156623,A,5,QE_I70
1156623,E,2,QE_I70
1160182,A,6,QE_I70
1160182,E,1,QE_I70
1160182,,6,QE_I70
1160371,A,25,QE_I70
1160371,B,1,QE_I70
1160371,D,1,QE_I70
1160371,E,1,QE_I70
1160371,F,1,QE_I70
1160371,,3,QE_I70
1160424,A,4,QE_I70
1160424,F,1,QE_I70
1160424,,6,QE_I70
1160481,A,4,QE_I70
1160481,E,1,QE_I70
1160830,A,258,QE_I70
1160830,B,5,QE_I70
1160830,C,4,QE_I70
1160830,D,4,QE_I70
1160830,E,27,QE_I70
1160830,F,25,QE_I70
1160830,,306,QE_I70
1160979,A,18,QE_I70
1160979,B,1,QE_I70
1160979,E,1,QE_I70
1160979,F,1,QE_I70
1160979,,3,QE_I70
1161404,A,26,QE_I70
1161404,B,1,QE_I70
1161404,E,1,QE_I70
1161404,,2,QE_I70
1166758,A,15,QE_I70
1166758,B,1,QE_I70
1166758,F,2,QE_I70
1168573,A,8,QE_I70
