CO_CURSO,TP_SEXO,n
123787,F,2
123787,M,1
300520,F,6
300520,M,25
312333,F,13
312333,M,30
1101770,F,15
1101770,M,31
1102402,F,8
1102402,M,28
1102641,F,2
1102641,M,2
1102795,F,6
1102795,M,4
1102963,M,4
1103025,F,6
1103025,M,4
1103031,F,8
1103031,M,2
1103032,F,1
1103032,M,3
1103185,F,2
1103461,F,9
1103461,M,6
1103556,F,6
1103556,M,14
1103657,F,8
1103657,M,7
1103813,F,13
1103813,M,17
1103910,F,8
1103910,M,16
1103911,F,11
1103911,M,17
1103912,F,8
1103912,M,3
1103914,F,18
1103914,M,8
1105218,F,13
1105218,M,12
1106721,F,2
1106721,M,4
1108212,F,12
1108212,M,12
1111510,F,3
1111510,M,3
1117203,F,4
1117203,M,6
1122743,F,7
1122743,M,10
1123270,F,12
1123270,M,12
1126144,F,3
1126144,M,4
1127113,F,12
1127113,M,19
1127676,F,3
1127676,M,7
1128030,F,9
1128030,M,8
1128096,F,6
1128096,M,19
1128169,F,25
1128169,M,23
1128360,F,9
1128360,M,6
1128375,F,4
1128375,M,4
1128378,F,2
1128378,M,12
1128936,F,6
1128936,M,9
1128938,F,7
1128938,M,5
1129073,F,7
1129073,M,4
1131697,F,8
1131697,M,21
1135958,F,1
1135958,M,2
1137846,F,7
1137846,M,20
1139335,F,4
1139335,M,1
1140021,F,11
1140021,M,8
1142320,F,3
1142320,M,7
1151457,F,6
1151457,M,10
1152312,F,2
1152312,M,2
1152591,F,4
1152591,M,5
1152637,F,9
1152637,M,6
1152880,F,14
1152880,M,12
1153801,F,15
1153801,M,29
1154825,F,10
1154825,M,12
1155366,F,9
1155366,M,12
1156565,F,4
1156623,F,3
1156623,M,4
1160182,F,6
1160182,M,7
1160371,F,18
1160371,M,14
1160424,F,3
1160424,M,8
1160481,F,4
1160481,M,1
1160830,F,203
1160830,M,426
1160979,F,11
1160979,M,13
1161404,F,14
1161404,M,16
1166758,F,14
1166758,M,4
1168573,F,9
1172590,F,113
1172590,M,137
1179877,F,11
1179877,M,24
1181042,F,10
1181042,M,11
1182640,F,7
1182640,M,13
1182765,F,9
1182765,M,4
1184450,F,12
1184450,M,13
1185309,F,1
1185309,M,5
1185450,M,2
1188419,F,6
1188419,M,7
1190159,F,620
1190159,M,712
1193885,F,7
