CO_CURSO,qe_i68_n,qe_i68_media,qe_i68_mediana,qe_i68_dp,qe_i68_nota_9_10_n,qe_i68_nota_0_6_n,qe_i68_nota_9_10_pct,qe_i68_nota_0_6_pct,qe_i69_n,qe_i69_media,qe_i69_mediana,qe_i69_dp,qe_i69_nota_9_10_n,qe_i69_nota_0_6_n,qe_i69_nota_9_10_pct,qe_i69_nota_0_6_pct,qe_i70_n,qe_i70_interesse_n,qe_i70_interesse_pct
45102,5,8.2,8.0,1.7888543819998317,2,1,0.4,0.2,5,7.6,9.0,3.7148351242013424,4,1,0.8,0.2,5,4,0.8
45701,7,8.428571428571429,9.0,1.8126539343499315,5,1,0.7142857142857143,0.14285714285714285,7,9.0,9.0,1.1547005383792521,5,0,0.7142857142857143,0.0,7,6,0.8571428571428571
45703,7,9.0,9.0,1.0000000000000004,4,0,0.5714285714285714,0.0,7,9.714285714285714,10.0,0.4879500364742666,7,0,1.0,0.0,7,7,1.0
46729,11,9.090909090909092,10.0,1.300349603340998,7,0,0.6363636363636364,0.0,11,9.363636363636363,10.0,0.9244162777371762,8,0,0.7272727272727273,0.0,11,11,1.0
47333,6,9.5,10.0,0.8366600265340756,5,0,0.8333333333333334,0.0,6,9.666666666666666,10.0,0.816496580927726,5,0,0.8333333333333334,0.0,6,6,1.0
48289,33,7.151515151515151,8.0,2.751377065684701,13,12,0.3939393939393939,0.36363636363636365,33,8.454545454545455,9.0,2.1078856273958073,21,6,0.6363636363636364,0.18181818181818182,33,31,0.9393939393939394
48946,11,7.0,8.0,3.40587727318528,4,3,0.36363636363636365,0.2727272727272727,11,8.636363636363637,9.0,1.689540012709215,7,1,0.6363636363636364,0.09090909090909091,11,10,0.9090909090909091
49324,37,8.486486486486486,9.0,1.8800357801208292,21,5,0.5675675675675675,0.13513513513513514,37,8.486486486486486,10.0,2.129444654020041,24,5,0.6486486486486487,0.13513513513513514,37,33,0.8918918918918919
50439,3,9.0,9.0,1.0,2,0,0.6666666666666666,0.0,3,9.0,9.0,1.0,2,0,0.6666666666666666,0.0,3,3,1.0
52068,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
52139,4,8.25,8.5,2.0615528128088303,2,1,0.5,0.25,4,8.25,8.5,2.0615528128088303,2,1,0.5,0.25,4,4,1.0
52442,40,9.25,10.0,1.5972733176516933,32,2,0.8,0.05,40,9.5,10.0,1.1547005383792517,35,2,0.875,0.05,40,40,1.0
55811,14,8.0,8.0,2.689008968145928,6,2,0.42857142857142855,0.14285714285714285,14,8.071428571428571,8.5,2.70225790815714,7,2,0.5,0.14285714285714285,14,12,0.8571428571428571
58522,12,9.166666666666666,9.0,0.8348471099367217,9,0,0.75,0.0,12,9.25,10.0,0.965307299163423,8,0,0.6666666666666666,0.0,12,12,1.0
58526,9,7.888888888888889,8.0,1.6914819275153699,3,2,0.3333333333333333,0.2222222222222222,9,8.333333333333334,8.0,1.118033988749895,3,0,0.3333333333333333,0.0,9,8,0.8888888888888888
58588,17,8.588235294117647,8.0,1.41681083464818,7,1,0.4117647058823529,0.058823529411764705,17,8.588235294117647,9.0,1.502448981222481,9,1,0.5294117647058824,0.058823529411764705,17,17,1.0
59272,27,7.555555555555555,8.0,1.9281983087713561,7,6,0.25925925925925924,0.2222222222222222,27,8.074074074074074,8.0,1.8999175270749542,13,5,0.48148148148148145,0.18518518518518517,27,23,0.8518518518518519
59426,66,8.166666666666666,8.0,1.7679482531004767,27,7,0.4090909090909091,0.10606060606060606,66,8.56060606060606,9.0,1.898410573074936,39,3,0.5909090909090909,0.045454545454545456,66,65,0.9848484848484849
59996,43,8.837209302325581,9.0,1.5264373797169415,27,3,0.627906976744186,0.06976744186046512,43,9.325581395348838,10.0,1.2290323377619772,35,3,0.813953488372093,0.06976744186046512,43,43,1.0
60290,7,8.857142857142858,10.0,1.573591584938886,4,1,0.5714285714285714,0.14285714285714285,7,9.857142857142858,10.0,0.3779644730092272,7,0,1.0,0.0,7,6,0.8571428571428571
60760,30,9.066666666666666,10.0,1.7207322686083046,24,3,0.8,0.1,30,9.366666666666667,10.0,1.6914252984479932,26,2,0.8666666666666667,0.06666666666666667,30,28,0.9333333333333333
61024,15,8.466666666666667,9.0,1.8073922282301276,8,1,0.5333333333333333,0.06666666666666667,15,8.866666666666667,9.0,1.5976172734359608,10,1,0.6666666666666666,0.06666666666666667,15,15,1.0
61669,14,8.142857142857142,10.0,2.9575754846246523,8,2,0.5714285714285714,0.14285714285714285,14,8.928571428571429,10.0,2.64471274328716,12,1,0.8571428571428571,0.07142857142857142,14,13,0.9285714285714286
63062,28,7.642857142857143,8.0,1.7683280597740132,9,7,0.32142857142857145,0.25,28,8.75,9.0,1.404358295529393,17,2,0.6071428571428571,0.07142857142857142,28,28,1.0
63383,25,7.64,8.0,2.1385353243127248,8,5,0.32,0.2,25,8.68,9.0,1.7009801096230777,16,4,0.64,0.16,25,24,0.96
64604,11,8.545454545454545,10.0,2.5045413298101655,8,2,0.7272727272727273,0.18181818181818182,11,9.090909090909092,10.0,1.4459976109624424,8,1,0.7272727272727273,0.09090909090909091,11,11,1.0
68313,6,9.0,9.5,1.2649110640673515,4,0,0.6666666666666666,0.0,6,9.5,10.0,1.224744871391589,5,0,0.8333333333333334,0.0,6,6,1.0
68511,33,7.878787878787879,8.0,2.433587574928934,15,8,0.45454545454545453,0.24242424242424243,33,8.090909090909092,8.0,2.1846572437632568,16,6,0.48484848484848486,0.18181818181818182,33,28,0.8484848484848485
70522,18,8.666666666666666,10.0,2.42535625036333,12,1,0.6666666666666666,0.05555555555555555,18,9.38888888888889,10.0,1.2432826042324119,14,1,0.7777777777777778,0.05555555555555555,18,15,0.8333333333333334
71037,8,7.125,7.5,2.4164614034338965,2,3,0.25,0.375,8,7.75,7.5,1.5811388300841898,2,2,0.25,0.25,8,6,0.75
71419,15,8.533333333333333,9.0,1.9591057240729095,10,2,0.6666666666666666,0.13333333333333333,15,9.2,10.0,1.2071217242444348,11,1,0.7333333333333333,0.06666666666666667,15,11,0.7333333333333333
74276,0,,,,0,0,nan,nan,0,,,,0,0,nan,nan,0,0,
76212,2,8.5,8.5,2.1213203435596424,1,0,0.5,0.0,2,9.0,9.0,1.4142135623730951,1,0,0.5,0.0,2,1,0.5
