CO_CURSO,ROTULO_OFERTA,CONCEITO_ENADE_NUM,nt_ger_count,nt_ger_mean,nt_ger_median,nt_ger_std,nt_ger_ic95_inf,nt_ger_ic95_sup,dif_norte_sem_ufpa,dif_brasil_sem_ufpa,percentil_norte_sem_ufpa,percentil_brasil_sem_ufpa
12022,Belém — Presencial,3.0,34,54.44764705882353,58.25,17.335377745195732,48.620581256648,60.27471286099905,11.03781947261664,1.5493285622854458,95.0,56.03448275862068
1364837,Salinópolis — Presencial,1.0,14,42.47285714285714,43.45,11.657031175396924,36.36653079011822,48.57918349559607,-0.9369704433497503,-10.425461353680944,40.0,11.206896551724139
1330339,Ananindeua — Presencial,1.0,17,42.33294117647058,40.84,12.239201242680156,36.51479422272635,48.151088130214816,-1.0768864097363107,-10.565377320067505,40.0,11.206896551724139
92851,Abaetetuba — Presencial,1.0,42,38.45095238095238,38.74,13.067700043875416,34.49882819053567,42.40307657136909,-4.9588752052545075,-14.447366115585702,20.0,5.603448275862069
1202639,Belém — EaD,1.0,24,30.905,28.6,9.398509132465824,27.144813219486583,34.665186780513416,-12.504827586206886,-21.99331849653808,5.0,1.293103448275862
