referencia,comparador,media_referencia,media_comparador,diferenca,cohen_d,n_cursos_referencia,n_cursos_comparador,n_participantes_referencia,n_participantes_comparador
UFPA,Norte sem UFPA,42.15389312977099,43.40982758620689,-1.2559344564358952,-0.0866686726082119,5,20,131,232
UFPA,Nordeste,42.15389312977099,50.726175637393766,-8.572282507622774,-0.5495271921064875,5,79,131,1059
UFPA,Sudeste,42.15389312977099,57.40708982035927,-15.253196690588275,-0.905162126166983,5,74,131,835
UFPA,Sul,42.15389312977099,53.86716621253406,-11.713273082763067,-0.7063075776337836,5,41,131,734
UFPA,Centro-Oeste,42.15389312977099,53.04670520231214,-10.892812072541147,-0.6683558729318906,5,18,131,173
UFPA,Brasil sem UFPA,42.15389312977099,52.89831849653808,-10.74442536676709,-0.6468951489718547,5,232,131,3033
Norte,Brasil sem Norte,42.95658402203857,53.684227061763664,-10.727643039725095,-0.6543737922802311,25,212,363,2801
