Oferta,Conceito,Média NT_GER,Primeira geração (%),Renda até 3 SM (%),Trabalha (%),Ação afirmativa (%),Auxílio permanência (%),Bolsa acadêmica (%),Estudo ≥4h (%),Pretende magistério (%)
Belém — Presencial,3.0,54.44764705882353,34.210526315789465,77.5,55.00000000000001,57.49999999999999,7.5,62.06896551724138,75.0,82.5
Salinópolis — Presencial,1.0,42.47285714285714,66.66666666666666,100.0,46.666666666666664,73.33333333333333,53.333333333333336,50.0,53.333333333333336,86.66666666666667
Ananindeua — Presencial,1.0,42.33294117647058,47.61904761904761,80.95238095238095,47.61904761904761,57.14285714285714,19.04761904761904,56.25,61.904761904761905,61.904761904761905
Abaetetuba — Presencial,1.0,38.45095238095238,46.15384615384615,95.45454545454545,47.72727272727273,75.0,40.909090909090914,23.8095238095238,59.09090909090909,81.81818181818183
Belém — EaD,1.0,30.905,16.0,92.59259259259261,70.37037037037037,74.07407407407408,0.0,0.0,37.03703703703703,88.88888888888889
